C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
469 ;* omi Per                          ;SB*;03 44 19.1337687984 +32 17 17.687367960;3.13     ;3.91     ;3.91     ;3.71     ;3.71     ;B1III                ; 628;   0
470 ;HD 23257                           ;PM*;03 44 45.0296444434 +27 55 15.867281440;     ~   ;7.41     ;     ~   ;6.4      ;     ~   ;G2IV                 ;  42;   0
471 ;HD 22403                           ;PM*;03 37 11.0381580962 +25 59 27.954176922;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;G4                   ; 128;   0
472 ;* 17 Tau                           ;Be*;03 44 52.5370897890 +24 06 48.016260072;3.19     ;3.59     ;3.70     ;3.71     ;3.80     ;B6IIIe               ; 415;   1
473 ;* 16 Tau                           ;*  ;03 44 48.2149362048 +24 17 22.083331452;5.09     ;5.42     ;5.46     ;5.42     ;5.47     ;B7V                  ; 272;   0
474 ;HD 22072                           ;PM*;03 34 08.3780792889 +17 49 58.182313637;     ~   ;7.06     ;6.16     ;5.6      ;     ~   ;K0.5IVFe-1           ; 112;   0
475 ;* 10 Tau                           ;PM*;03 36 52.3837044168 +00 24 05.992097829;5.23     ;5.15     ;4.30     ;4.09     ;3.77     ;F9IV-V               ; 597;   0
476 ;HD 22879                           ;Pe*;03 40 22.0652879951 -03 13 01.124265616;7.146    ;7.222    ;6.667    ;6.346    ;6.016    ;G0VmF2               ; 530;   0
477 ;* del Eri                          ;PM*;03 43 14.9005379551 -09 45 48.210955899;5.13     ;4.46     ;3.54     ;2.82     ;2.32     ;K0+IV                ; 651;   0
478 ;HD 23281                           ;*  ;03 43 33.8338762320 -10 29 08.365157736;5.88     ;5.80     ;5.61     ;5.40     ;5.30     ;A5III-IV             ;  95;   0
479 ;HD 23356                           ;PM*;03 43 55.3428341807 -19 06 39.233301647;8.711    ;8.012    ;7.081    ;6.555    ;6.098    ;K2V                  ; 156;   0
480 ;HD 23484                           ;PM*;03 44 09.1729719544 -38 16 54.372263223;8.449    ;7.875    ;6.996    ;6.516    ;6.09     ;K2V                  ; 137;   0
481 ;* zet Per                          ;s*b;03 54 07.9224751 +31 53 01.081262      ;2.19     ;2.97     ;2.85     ;2.71     ;2.62     ;B1Ib                 ; 882;   0
482 ;* 18 Tau                           ;PM*;03 45 09.7401340368 +24 50 21.343198416;5.21     ;5.57     ;5.64     ;5.61     ;5.68     ;B8V                  ; 293;   0
483 ;* q Tau                            ;SB*;03 45 12.4999931614 +24 28 02.185543730;3.73     ;4.19     ;4.30     ;4.30     ;4.40     ;B6IV                 ; 288;   0
484 ;* 21 Tau                           ;PM*;03 45 54.4764507648 +24 33 16.235698248;5.49     ;5.72     ;5.76     ;5.71     ;5.74     ;B8V                  ; 234;   0
485 ;* 20 Tau                           ;PM*;03 45 49.6081548365 +24 22 03.877565838;3.40     ;3.80     ;3.87     ;3.85     ;3.90     ;B7III                ; 451;   1
486 ;HD 24213                           ;PM*;03 52 11.3967844224 +25 09 47.079310464;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;G0                   ;  71;   0
487 ;* 27 Tau                           ;SB*;03 49 09.7430578114 +24 03 12.301679809;3.18     ;3.54     ;3.63     ;3.62     ;3.68     ;B8III                ; 387;   0
488 ;HD 23964A                          ;SB*;03 49 58.0556899152 +23 50 55.288075236;     ~   ;6.82     ;6.81     ;6.3      ;6.74     ;B9.5VspSiSrCr        ; 168;   0
489 ;HD 23753                           ;PM*;03 48 20.8167826752 +23 25 16.495877028;5.06     ;5.38     ;5.45     ;5.42     ;5.48     ;B8V                  ; 194;   0
490 ;* eta Tau                          ;Be*;03 47 29.0765529 +24 06 18.488347      ;2.44     ;2.78     ;2.87     ;2.84     ;2.88     ;B7III                ; 557;   1
491 ;HD 24357                           ;PM*;03 53 10.0461915456 +17 19 37.507270260;     ~   ;6.294    ;5.946    ;5.745    ;5.545    ;F4V                  ; 197;   0
492 ;HD 24496                           ;PM*;03 54 28.0333278648 +16 36 57.791174400;7.840    ;7.540    ;6.810    ;6.395    ;6.003    ;G7V                  ; 121;   0
493 ;V* V766 Tau                        ;a2*;03 51 15.8701556242 +13 02 45.880979101;5.88     ;6.32     ;6.38     ;6.36     ;6.39     ;B9pS                 ; 106;   0
494 ;* 32 Eri                           ;** ;03 54 17.50180 -02 57 17.0435          ;5.55     ;5.13     ;4.45     ;3.86     ;3.46     ;G8III+A1V            ;  21;   0
495 ;* pi. Eri                          ;LP?;03 46 08.5352200200 -12 06 05.718535236;8.05     ;6.04     ;4.42     ;3.08     ;2.03     ;M1III                ;  64;   0
496 ;* g Eri                            ;PM*;03 49 27.2462589689 -36 12 00.924271092;5.80     ;5.12     ;4.17     ;3.46     ;2.96     ;G7III                ;  85;   0
497 ;* eps Per                          ;bC*;03 57 51.2393818140 +40 00 36.719213615;1.71     ;2.71     ;2.89     ;2.96     ;3.14     ;B0.5III              ; 533;   0
498 ;* ksi Per                          ;** ;03 58 57.9024302099 +35 47 27.709515737;3.190    ;4.080    ;4.060    ;3.88     ;3.89     ;O7.5III(n)((f))      ; 851;   0
499 ;* 37 Tau                           ;PM*;04 04 41.7128811713 +22 04 54.946823724;6.41     ;5.44     ;4.37     ;3.58     ;3.05     ;K0III-IIIb           ; 194;   0
500 ;* 39 Tau                           ;** ;04 05 20.2580439192 +22 00 32.057399592;     ~   ;6.54     ;5.90     ;5.5      ;     ~   ;G5V                  ; 235;   0
501 ;* lam Tau                          ;SB*;04 00 40.8167738514 +12 29 25.239987626;2.66     ;3.29     ;3.41     ;3.44     ;3.53     ;B4IV                 ; 364;   0
502 ;HD 25102                           ;SB*;03 59 40.4960115792 +10 19 49.359946008;     ~   ;6.762    ;6.340    ;6.097    ;5.860    ;F5V                  ; 156;   0
503 ;HD 25463                           ;MS*;04 02 59.5066115256 +09 12 30.533808348;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F8                   ;  49;   0
504 ;HD 25570                           ;PM*;04 03 56.6024860680 +08 11 50.158688748;     ~   ;     ~   ;     ~   ;5.2      ;     ~   ;F2Vs                 ; 113;   0
505 ;HD 25621                           ;PM*;04 04 09.8751899184 +02 49 37.019733024;     ~   ;5.86     ;     ~   ;5.0      ;     ~   ;F6V                  ; 145;   0
506 ;* gam Eri                          ;LP?;03 58 01.7658213057 -13 30 30.653301544;6.52     ;4.54     ;2.94     ;1.68     ;0.68     ;M0III-IIIb           ; 200;   0
507 ;* tau09 Eri                        ;a2*;03 59 55.4837679360 -24 00 58.377195468;4.11     ;4.52     ;4.66     ;4.64     ;4.77     ;ApSi                 ; 172;   0
508 ;* 49 Per                           ;PM*;04 08 15.3887521080 +37 43 38.987011812;7.79     ;7.04     ;     ~   ;5.5      ;     ~   ;K1III                ; 106;   0
509 ;* 50 Per                           ;RS*;04 08 36.6171573432 +38 02 23.058806100;7.78     ;5.97     ;     ~   ;5.2      ;     ~   ;F8V                  ; 238;   0
510 ;HD 26311                           ;*  ;04 10 59.0241915312 +33 35 12.402840264;8.65     ;7.20     ;5.74     ;4.69     ;3.90     ;K2-IIICN1            ;  54;   0
511 ;HD 26766                           ;PM*;04 15 10.3934322360 +29 54 07.399299744;     ~   ;8.17     ;     ~   ;6.5      ;     ~   ;K0V                  ;  34;   0
512 ;HD 26345                           ;PM*;04 10 42.3629157312 +18 25 23.714993208;     ~   ;7.005    ;6.576    ;6.329    ;6.095    ;F6V                  ; 168;   0
513 ;* 48 Tau                           ;El*;04 15 46.2844734000 +15 24 02.505856392;     ~   ;6.705    ;6.300    ;6.070    ;5.847    ;F5V                  ; 203;   0
514 ;HD 26748                           ;*  ;04 14 19.5933815784 +14 32 54.899140524;     ~   ;9.55     ;7.638    ;6.86     ;     ~   ;K0                   ;   8;   0
515 ;HD 26784                           ;PM*;04 14 34.3409896608 +10 42 04.993916796;     ~   ;7.606    ;7.080    ;6.791    ;6.511    ;F8V                  ; 214;   0
516 ;* 46 Tau                           ;** ;04 13 33.0904461000 +07 42 58.017467664;5.65     ;5.65     ;5.29     ;4.94     ;4.75     ;F2V                  ; 172;   0
517 ;HD 26923                           ;PM*;04 15 28.8004060272 +06 11 12.698572488;6.910    ;6.860    ;     ~   ;5.9      ;     ~   ;G0IV                 ; 236;   0
518 ;* 45 Tau                           ;PM*;04 11 20.2822395072 +05 31 22.987999632;     ~   ;6.057    ;5.699    ;5.487    ;5.284    ;F4V                  ; 259;   0
519 ;HD 26913                           ;BY*;04 15 25.7871375264 +06 11 58.751401236;7.790    ;7.580    ;6.920    ;6.554    ;6.195    ;G6V                  ; 243;   0
520 ;* omi02 Eri                        ;PM*;04 15 16.3196189945 -07 39 10.330779018;5.69     ;5.25     ;4.43     ;3.74     ;3.29     ;K0V                  ; 879;   0
521 ;* 39 Eri                           ;PM*;04 14 23.6878980552 -10 15 22.620462156;7.18     ;6.07     ;4.90     ;4.01     ;3.44     ;K2III                ; 121;   0
522 ;V* GW Eri                          ;SB*;04 11 36.2037143376 -20 21 22.156679988;6.05     ;5.96     ;5.80     ;5.64     ;5.59     ;A1V+(F/G)            ;  83;   0
523 ;* ups04 Eri                        ;SB*;04 17 53.6624004496 -33 47 54.052408258;3.07     ;3.44     ;3.56     ;3.57     ;3.68     ;B8V+B9.5V?           ; 168;   0
524 ;HD 26575                           ;*  ;04 10 45.8710071288 -35 16 25.636934100;8.47     ;7.51     ;6.44     ;5.61     ;5.05     ;K0IIICN-0.5CH-2      ;  46;   0
525 ;HD 27731                           ;PM*;04 23 30.4004677416 +24 24 19.469650140;     ~   ;7.625    ;7.159    ;6.905    ;6.643    ;F6V                  ; 132;   0
526 ;HD 27524                           ;PM*;04 21 31.6490057568 +21 02 23.557097868;     ~   ;7.215    ;6.779    ;6.531    ;6.283    ;F5V                  ; 195;   0
527 ;HD 27808                           ;PM*;04 24 14.5737054432 +21 44 10.483946556;     ~   ;7.646    ;7.125    ;6.830    ;6.550    ;F8V                  ; 227;   0
528 ;HD 28226                           ;PM*;04 28 00.7827965760 +21 37 11.650661112;     ~   ;5.996    ;5.711    ;5.553    ;5.406    ;Am                   ; 168;   0
529 ;HD 27429                           ;PM*;04 20 25.1019130632 +18 44 33.652197312;     ~   ;6.478    ;6.094    ;5.874    ;5.653    ;F2Vn                 ; 129;   0
530 ;HD 27534                           ;PM*;04 21 32.2684884072 +18 25 03.295609536;     ~   ;7.234    ;6.787    ;6.532    ;6.279    ;F5V                  ; 184;   0
531 ;HD 27901                           ;PM*;04 24 57.1275623016 +19 02 31.232746428;     ~   ;6.354    ;5.965    ;5.736    ;5.506    ;F4V                  ; 144;   0
532 ;* gam Tau                          ;** ;04 19 47.6039239005 +15 37 39.511385129;5.46     ;4.64     ;3.65     ;4.83     ;     ~   ;G9.5IIIabCN0.5       ; 569;   0
533 ;* del Tau                          ;SB*;04 22 56.0951595936 +17 32 33.049802364;5.56     ;4.74     ;3.76     ;5.56     ;     ~   ;G9.5IIICN0.5         ; 542;   0
534 ;* del02 Tau                        ;PM*;04 24 05.7614531616 +17 26 38.871301956;5.07     ;4.95     ;4.80     ;4.64     ;4.57     ;A2Vs                 ; 261;   0
535 ;* del03 Tau                        ;a2*;04 25 29.3847186643 +17 55 40.463442784;     ~   ;4.369    ;4.298    ;6.18     ;4.24     ;A2IV-Vs              ; 429;   0
536 ;HD 28394                           ;SB*;04 29 20.5589466330 +17 32 41.834829803;     ~   ;7.52     ;7.01     ;6.724    ;6.434    ;F8V                  ; 141;   0
537 ;HD 28406                           ;PM*;04 29 30.3506853024 +17 51 47.393997696;7.36     ;7.352    ;6.890    ;6.631    ;6.373    ;F6V                  ; 214;   0
538 ;HD 27848                           ;PM*;04 24 22.2732237168 +17 04 44.236606296;     ~   ;7.405    ;6.947    ;6.698    ;6.445    ;F6V                  ; 182;   0
539 ;HD 28363                           ;** ;04 28 59.7394076568 +16 09 32.714425728;     ~   ;7.101    ;6.565    ;6.258    ;5.966    ;F8V                  ; 202;   0
540 ;* tet01 Tau                        ;SB*;04 28 34.4979222951 +15 57 44.221169423;5.510    ;4.780    ;3.840    ;5.48     ;     ~   ;G9IIIFe-0.5          ; 509;   0
541 ;* 71 Tau                           ;dS*;04 26 20.7708204936 +15 37 05.884087620;     ~   ;4.758    ;4.480    ;5.96     ;4.15     ;F0V                  ; 235;   0
542 ;* tet02 Tau                        ;dS*;04 28 39.7416111456 +15 52 15.148738380;3.690    ;3.600    ;3.410    ;5.43     ;     ~   ;A7III                ; 459;   0
543 ;* 58 Tau                           ;dS*;04 20 36.3103641648 +15 05 43.630164636;     ~   ;5.475    ;5.242    ;5.126    ;4.999    ;F0IV-V               ; 210;   0
544 ;* h Tau                            ;dS*;04 19 57.7045712640 +14 02 06.732211488;     ~   ;5.856    ;5.568    ;5.407    ;5.250    ;F0IV                 ; 243;   0
545 ;HD 27483                           ;** ;04 20 52.7204196432 +13 51 51.933419460;     ~   ;6.603    ;6.141    ;5.876    ;5.630    ;DA3+F6V              ; 196;   0
546 ;HD 27561                           ;PM*;04 21 34.7949333144 +14 24 35.240373612;     ~   ;6.999    ;6.578    ;6.338    ;6.099    ;F5IV-V               ; 250;   0
547 ;* pi. Tau                          ;*  ;04 26 36.3714456672 +14 42 49.614689520;6.39     ;5.67     ;4.69     ;3.97     ;3.46     ;G7IIIFe-0.5          ; 117;   0
548 ;* 76 Tau                           ;SB*;04 28 23.4077842656 +14 44 27.451968756;     ~   ;6.227    ;5.892    ;5.694    ;5.501    ;F0IV                 ; 154;   0
549 ;* b Tau                            ;PM*;04 28 50.1636212976 +13 02 51.367198596;     ~   ;5.226    ;5.014    ;4.907    ;4.795    ;kA5hF0VmF0           ; 214;   0
550 ;* 228 Eri                          ;Be*;04 29 06.9254098152 -13 02 54.127769208;4.45     ;5.23     ;5.41     ;5.46     ;5.63     ;B2(V)ne              ; 286;   0
551 ;* 43 Eri                           ;PM*;04 24 02.2063343712 -34 01 00.658242588;7.25     ;5.45     ;3.96     ;2.79     ;1.96     ;K3.5III              ;  77;   0
552 ;* 58 Per                           ;SB*;04 36 41.4325009530 +41 15 53.405356208;6.31     ;5.50     ;4.26     ;3.31     ;2.61     ;K0II-III+B9V         ; 131;   0
553 ;* 81 Tau                           ;SB*;04 30 38.8891193184 +15 41 30.760430964;     ~   ;5.739    ;5.454    ;6.76     ;     ~   ;kA3hA8mF3            ; 231;   0
554 ;HD 28527                           ;dS*;04 30 33.6326139192 +16 11 38.449696416;     ~   ;4.975    ;4.764    ;6.52     ;     ~   ;A6IV                 ; 210;   0
555 ;* 85 Tau                           ;PM*;04 31 51.7588453752 +15 51 05.846138784;     ~   ;6.342    ;5.998    ;5.799    ;5.604    ;F1.5Vn               ; 138;   0
556 ;HD 29225                           ;PM*;04 36 40.7173312344 +15 52 09.678087120;     ~   ;7.074    ;6.619    ;6.371    ;6.115    ;F6V                  ; 156;   0
557 ;* alf Tau                          ;LP?;04 35 55.23907 +16 30 33.4885          ;4.32     ;2.40     ;0.86     ;-0.37    ;-1.31    ;K5+III               ;1299;   2
558 ;* 80 Tau                           ;** ;04 30 08.59775 +15 38 16.2194          ;     ~   ;5.887    ;5.552    ;5.358    ;5.161    ;F0V                  ; 189;   0
559 ;* 83 Tau                           ;** ;04 30 37.3629243168 +13 43 27.848332992;     ~   ;5.655    ;5.395    ;5.245    ;5.093    ;F0IV                 ; 163;   0
560 ;HD 28911                           ;PM*;04 33 46.6420844064 +13 15 06.784086276;     ~   ;7.031    ;6.597    ;6.351    ;6.108    ;F6V                  ; 147;   0
561 ;* rho Tau                          ;dS*;04 33 50.9178322656 +14 50 39.941657592;4.98     ;4.90     ;4.65     ;4.41     ;4.29     ;A8V                  ; 237;   0
562 ;HD 28735                           ;PM*;04 32 10.5884204496 +10 45 38.588453568;     ~   ;8.702    ;7.121    ;6.74     ;     ~   ;K2                   ;   5;   0
563 ;* c Tau                            ;BS?;04 38 09.4618938672 +12 30 39.013056648;4.52     ;4.39     ;4.27     ;4.13     ;4.08     ;A6V                  ; 207;   0
564 ;HD 28608                           ;PM*;04 30 57.1716459048 +10 45 06.360444756;     ~   ;7.491    ;7.015    ;6.741    ;6.479    ;F7V                  ; 152;   0
565 ;HD 28736                           ;PM*;04 32 04.8085885704 +05 24 36.148166280;     ~   ;6.783    ;6.352    ;6.104    ;5.874    ;F5V                  ; 188;   0
566 ;HD 29499                           ;PM*;04 39 06.1590186912 +07 52 15.553412364;     ~   ;5.623    ;5.365    ;5.226    ;5.093    ;A5m                  ; 139;   0
567 ;* l Eri                            ;** ;04 38 10.8236170649 -14 18 14.500428166;5.99     ;4.96     ;3.87     ;3.03     ;2.47     ;K2-IIIb              ; 141;   0
568 ;* 54 Eri                           ;LP*;04 40 26.5114226976 -19 40 17.370744924;7.80     ;5.90     ;4.30     ;2.81     ;1.40     ;M3/4III              ;  76;   0
569 ;* ups01 Eri                        ;PM*;04 33 30.5522530392 -29 45 59.370656652;6.20     ;5.49     ;4.51     ;3.76     ;3.22     ;K0+IIIbFe-0.5        ;  84;   0
570 ;* ups02 Eri                        ;PM*;04 35 33.0379612193 -30 33 44.431333529;5.52     ;4.80     ;3.82     ;3.07     ;2.58     ;G8+III               ; 107;   0
571 ;* alf Cae                          ;PM*;04 40 33.7125133631 -41 51 49.504549835;4.79     ;4.79     ;4.45     ;4.11     ;3.90     ;F2V                  ; 134;   0
572 ;HD 29587                           ;SB*;04 41 36.3155555021 +42 07 06.424075363;7.940    ;7.890    ;7.280    ;6.74     ;6.39     ;G2V                  ; 157;   1
573 ;HD 29645                           ;PM*;04 41 50.2562060352 +38 16 48.653780880;     ~   ;6.56     ;     ~   ;5.6      ;     ~   ;F9IV-V               ; 143;   0
574 ;HD 30455                           ;SB*;04 48 42.1391486764 +18 42 33.980295797;     ~   ;7.59     ;     ~   ;6.6      ;     ~   ;G2V                  ; 146;   0
