C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
87  ;* tet Cas                          ;PM*;01 11 06.1620929203 +55 08 59.638991981;4.630    ;4.510    ;4.330    ;4.16     ;4.09     ;A7V                  ; 210;   0
88  ;* g Per                            ;*  ;02 02 18.1084057296 +54 29 15.145135980;4.64     ;4.96     ;5.04     ;5.01     ;5.06     ;B8III                ; 107;   0
89  ;* tet Per                          ;PM*;02 44 11.9866154103 +49 13 42.414669174;4.62     ;4.62     ;4.11     ;3.67     ;3.37     ;F8V                  ; 428;   0
90  ;HD 22521                           ;SB*;03 38 57.1924217592 +42 32 17.882827692;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;G0                   ;  68;   0
91  ;* nu. Per                          ;*  ;03 45 11.6327358410 +42 34 42.709540671;4.50     ;4.22     ;3.80     ;3.40     ;3.13     ;F4II                 ; 136;   0
92  ;HD 188753                          ;** ;19 54 58.3717655 +41 52 17.529759      ;     ~   ;8.24     ;7.44     ;6.9      ;     ~   ;G9V                  ; 138;   1
93  ;HD 193793                          ;WR*;20 20 27.9757908696 +43 51 16.286840244;6.90     ;7.25     ;6.85     ;4.58     ;     ~   ;WC7pd+O5.5fc         ; 756;   0
94  ;HD 195506                          ;PM*;20 29 59.9406847728 +45 55 42.780837396;     ~   ;     ~   ;     ~   ;5.8      ;     ~   ;K2III                ;  61;   0
95  ;V* V Cyg                           ;C* ;20 41 18.2676815496 +48 08 28.810980420;     ~   ;14.05    ;7.70     ;6.67     ;     ~   ;C7,4eJ               ; 317;   0
96  ;HD 199955                          ;** ;20 58 30.03385 +50 27 42.4409          ;     ~   ;5.77     ;5.90     ;6.84     ;     ~   ;B7IVn+B7IV           ;  58;   0
97  ;* 13 Cep                           ;s*b;21 54 53.1538880928 +56 36 40.415024952;6.50     ;6.52     ;5.80     ;5.12     ;4.52     ;B7Iab                ; 195;   0
98  ;* zet Cep                          ;s*r;22 10 51.2777055617 +58 12 04.542602641;6.62     ;4.90     ;3.35     ;2.27     ;1.49     ;K1.5Ib               ; 295;   0
99  ;* eps Cep                          ;SB*;22 15 02.1972987635 +57 02 36.846735569;     ~   ;4.47     ;     ~   ;4.0      ;     ~   ;F0V(Sr)              ; 237;   0
100 ;HD 210855                          ;PM*;22 11 48.7670966976 +56 50 21.684542208;     ~   ;5.75     ;     ~   ;4.9      ;     ~   ;F8V                  ; 135;   0
101 ;HD 215588                          ;PM*;22 45 03.6305507712 +58 08 49.388375796;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;F5                   ;  48;   0
102 ;HD 221354                          ;PM*;23 31 22.2087431778 +59 09 55.867801045;     ~   ;7.57     ;     ~   ;6.2      ;     ~   ;K0V                  ; 190;   0
103 ;V* PZ Cas                          ;s*r;23 44 03.2814215136 +61 47 22.190200476;12.80    ;11.48    ;8.90     ;6.08     ;3.90     ;M3Ia                 ; 210;   0
104 ;* bet Cas                          ;dS*;00 09 10.68518 +59 08 59.2120          ;2.73     ;2.61     ;2.27     ;1.97     ;1.77     ;F2III                ; 551;   0
105 ;HD 1697                            ;PM*;00 21 41.8956210816 +61 41 30.413754096;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;F8                   ;  19;   0
106 ;HD 5015                            ;PM*;00 53 04.1964421920 +61 07 26.299289856;5.43     ;5.34     ;4.80     ;4.32     ;4.02     ;F9V                  ; 244;   1
107 ;* gam Cas                          ;HXB;00 56 42.5310945 +60 43 00.264089      ;1.18     ;2.29     ;2.39     ;2.32     ;2.40     ;B0.5IVpe             ;1258;   0
108 ;V* V466 Cas                        ;s*r;01 19 53.6180547504 +58 18 30.745534716;13.04    ;10.74    ;8.62     ;6.86     ;5.44     ;M0.5Ib               ;  83;   0
109 ;HD 8272                            ;** ;01 23 21.41971 +58 08 34.7787          ;6.780    ;6.78     ;6.35     ;6.1      ;     ~   ;F4V                  ;  76;   0
110 ;* phi Cas                          ;s*y;01 20 04.9164665856 +58 13 53.807643876;6.15     ;5.66     ;4.98     ;4.34     ;3.78     ;F0Ia                 ; 286;   0
111 ;V* XX Per                          ;s*r;02 03 09.3585397752 +55 13 56.622913212;11.66    ;10.34    ;8.20     ;6.02     ;4.19     ;M4Ib+                ;  93;   0
112 ;HD 13403                           ;PM*;02 12 56.0619979772 +57 12 16.187053375;7.79     ;7.66     ;7.00     ;6.44     ;6.05     ;G3V                  ;  84;   0
113 ;V* KK Per                          ;s*r;02 10 15.7846748496 +56 33 32.663347416;12.32    ;9.96     ;7.74     ;5.86     ;4.29     ;M2Iab-Ib             ; 108;   0
114 ;HD 14322                           ;s*b;02 20 42.9186920184 +55 54 32.680603404;6.87     ;7.16     ;6.85     ;6.44     ;6.22     ;B8Iab                ;  98;   0
115 ;* i Per                            ;sg*;02 22 21.4343107056 +55 50 44.350353276;5.43     ;5.54     ;5.17     ;4.79     ;4.47     ;A1Ia                 ; 201;   0
116 ;HD 13854                           ;s*b;02 16 51.7162480872 +57 03 18.882144756;6.10     ;6.76     ;6.48     ;6.14     ;5.95     ;B1Iab                ; 217;   0
117 ;* tau Per                          ;SB*;02 54 15.4777208304 +52 45 44.882735292;5.17     ;4.71     ;3.96     ;3.33     ;2.89     ;G8III+A7V            ; 175;   0
118 ;* iot Per                          ;PM*;03 09 04.0193012009 +49 36 47.802053343;4.76     ;4.64     ;     ~   ;3.7      ;     ~   ;G0V                  ; 578;   0
119 ;HD 20675                           ;PM*;03 21 52.5329743680 +49 04 15.257802576;     ~   ;     ~   ;     ~   ;5.7      ;     ~   ;F6V                  ;  87;   0
120 ;* 36 Per                           ;PM*;03 32 26.2592647368 +46 03 24.701606568;5.71     ;5.73     ;5.32     ;4.91     ;4.69     ;F6III                ; 119;   0
121 ;* omi02 Cyg                        ;SB*;20 15 28.3242122880 +47 42 51.213932496;6.54     ;5.50     ;3.98     ;2.78     ;1.86     ;K7Ib-II+B1V          ; 347;   0
122 ;HD 198387                          ;PM*;20 47 52.9809345648 +52 24 25.744658508;     ~   ;7.16     ;     ~   ;5.7      ;     ~   ;K0V:                 ;  66;   0
123 ;HD 199191                          ;PM*;20 53 18.3142112904 +54 31 05.161984500;8.69     ;8.08     ;     ~   ;6.6      ;     ~   ;K0III                ;  98;   0
124 ;HD 204231                          ;PM*;21 25 03.3808037904 +58 05 05.838460440;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G0                   ;  23;   0
125 ;* mu. Cep                          ;s*r;21 43 30.4595558543 +58 46 48.165937434;8.85     ;6.43     ;4.08     ;1.98     ;0.22     ;M2-Ia                ; 695;   1
126 ;HD 210905                          ;PM*;22 11 56.8907545680 +59 05 04.489307052;     ~   ;     ~   ;     ~   ;5.6      ;     ~   ;K0III                ;  49;   0
127 ;* lam Cep                          ;s*b;22 11 30.5765111040 +59 24 52.154264880;4.55     ;5.29     ;5.05     ;4.77     ;4.62     ;O6.5I(n)fp           ; 705;   1
128 ;HD 216380                          ;** ;22 51 22.62911 +61 41 48.2545          ;     ~   ;     ~   ;     ~   ;6.75     ;     ~   ;G8III-IV+G2IV        ;  64;   0
129 ;V* V816 Cas                        ;LP*;23 42 20.9518695888 +64 30 55.415090016;10.58    ;8.46     ;6.58     ;4.93     ;3.60     ;M2III                ;  45;   0
130 ;* 6 Cas                            ;** ;23 48 50.17052 +62 12 52.2577          ;     ~   ;     ~   ;     ~   ;6.60     ;     ~   ;A2.5(I)+O9.8II       ; 200;   0
131 ;HD 1613                            ;s*r;00 20 43.5630912360 +61 52 46.543163376;11.08    ;8.97     ;6.95     ;5.33     ;4.03     ;M1Iab                ;  33;   0
132 ;HD 225094                          ;s*b;00 03 25.7156345788 +63 38 25.861065311;6.01     ;6.56     ;6.22     ;5.90     ;5.67     ;B2.9Iab              ; 150;   0
133 ;* kap Cas                          ;s*b;00 32 59.9918836206 +62 55 54.413126128;3.50     ;4.30     ;4.16     ;4.02     ;3.96     ;BC0.7Ia              ; 474;   0
134 ;HD 4841                            ;Em*;00 51 25.9269354192 +63 46 52.209157764;7.13     ;7.43     ;6.86     ;6.28     ;5.90     ;B5Ia                 ;  89;   0
135 ;HD 4817                            ;** ;00 51 16.3831719552 +61 48 19.779990984;9.88     ;8.08     ;6.18     ;4.73     ;3.64     ;K2.5Ib-IICN-1        ;  87;   0
136 ;* del Cas                          ;EB*;01 25 48.9514709 +60 14 07.022507      ;2.930    ;2.810    ;2.680    ;2.53     ;2.44     ;A5IV                 ; 273;   0
137 ;* 5 Per                            ;s*b;02 11 29.1934233120 +57 38 43.964680956;6.23     ;6.68     ;6.35     ;6.02     ;5.75     ;B5Ia                 ; 191;   0
138 ;HD 236947                          ;*  ;02 07 12.0545484072 +58 47 15.904117248;13.11    ;10.82    ;8.63     ;6.78     ;5.26     ;M2III                ;  53;   0
139 ;HD 12953                           ;sg*;02 08 40.5790963584 +58 25 24.970714608;6.28     ;6.29     ;5.68     ;5.09     ;4.59     ;A1Ia                 ; 198;   0
140 ;HD 13476                           ;sg*;02 13 41.6105031504 +58 33 38.107279260;7.26     ;7.04     ;6.43     ;5.89     ;5.40     ;A2Iab                ; 142;   0
