C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
1254;* 35 Leo                           ;PM*;10 16 32.2892262264 +23 30 11.206765404;-200.342 32.030     ;33.7721   ;-33.80     ;-0.000113   ;-33.80     ;6.85     ;6.64     ;     ~   ;5.6      ;     ~   ;G1.5IV-V             
1255;* zet Leo                          ;*  ;10 16 41.4151642435 +23 25 02.341160368;  21.161 -8.263     ;14.0377   ;-12.32     ;-0.000041   ;-12.32     ;3.89     ;3.72     ;3.41     ;3.09     ;2.91     ;F0IIIa               
1256;HD 88270                           ;PM*;10 11 08.5624426896 +20 41 46.122599472;121.276 -140.259    ;18.7074   ;-5.60      ;-0.000019   ;-5.60      ;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;sdF2                 
1257;HD 88737                           ;PM*;10 14 29.7521686848 +21 10 04.973666520;-144.260 -75.383    ;18.5893   ;17.255     ;0.000058    ;17.26      ;     ~   ;     ~   ;     ~   ;5.7      ;     ~   ;F9V                  
1258;* 31 Leo                           ;PM*;10 07 54.2701166766 +09 59 51.024749763;-82.021 -64.844     ;11.0209   ;39.84      ;0.000133    ;39.84      ;7.57     ;5.82     ;4.38     ;3.26     ;2.49     ;K3.5IIIbFe-1:        
1259;* alf Leo                          ;PM*;10 08 22.31099 +11 58 01.9516          ;   -248.73 5.59     ;41.13     ;0.719522   ;0.000002    ;0.72       ;0.88     ;1.24     ;1.40     ;1.37     ;1.47     ;B8IVn                
1260;HD 89307                           ;PM*;10 18 21.2877106152 +12 37 15.990903516;-272.659 -39.333    ;31.4134   ;23.075     ;0.000077    ;23.08      ;7.650    ;7.590    ;     ~   ;6.7      ;     ~   ;G0V                  
1261;* lam Hya                          ;SB*;10 10 35.2885811545 -12 21 14.858923765;-217.433 -74.373    ;30.0232   ;19.4       ;0.000065    ;19.40      ;5.53     ;4.61     ;3.61     ;2.84     ;2.36     ;K0IIIbCN0.5          
1262;HD 89351                           ;PM*;10 18 23.7607480272 -13 18 17.133354216; 35.405 -38.090     ;5.5707    ;-17.42     ;-0.000058   ;-17.42     ;     ~   ;8.03     ;8.819    ;6.4      ;9.057    ;G8/K0III             
1263;HD 88346                           ;*  ;10 10 52.2624715536 -15 42 33.060432528;    0.799 6.143     ;2.7767    ;2.06       ;0.000007    ;2.06       ;     ~   ;8.47     ;6.94     ;6.08     ;9.089    ;K3III                
1264;* mu. UMa                          ;SB*;10 22 19.7276765267 +41 29 58.337745272; -73.749 28.259     ;17.7987   ;-21.30     ;-0.000071   ;-21.30     ;6.53     ;4.64     ;3.05     ;1.76     ;0.80     ;M0III                
1265;* bet LMi                          ;** ;10 27 52.9995995 +36 42 25.956038      ;-127.68 -110.31     ;21.19     ;8.946790   ;0.000030    ;8.95       ;5.76     ;5.11     ;4.21     ;3.52     ;3.06     ;G9III                
1266;* gam02 Leo                        ;PM*;10 19 58.619717 +19 50 26.70347        ;   306.4 -160.8     ;      ~   ;-36.3      ;-0.000121   ;-36.30     ;     ~   ;3.4      ;     ~   ;2.2      ;     ~   ;G7IIIbFe-1.5         
1267;* gam01 Leo                        ;PM*;10 19 58.354462 +19 50 29.35920        ;   310.8 -152.9     ;      ~   ;-36.98     ;-0.000123   ;-36.98     ;4.13     ;3.44     ;2.23     ;1.13     ;0.51     ;K1-IIIFe-1           
1268;* 40 Leo                           ;dS*;10 19 44.1672125464 +19 28 15.285966538;-230.589 -214.069   ;47.1255   ;6.237      ;0.000021    ;6.24       ;     ~   ;5.24     ;     ~   ;4.5      ;     ~   ;F6IV-V               
1269;HD 89995                           ;PM*;10 23 14.6182657248 +05 41 39.284234232;-244.721 -70.742    ;17.1191   ;34.86      ;0.000116    ;34.86      ;     ~   ;7.00     ;     ~   ;6.3      ;     ~   ;F6V                  
1270;HD 90905                           ;PM*;10 29 42.2298999216 +01 29 28.037560668;-150.929 -123.832   ;32.5121   ;16.630     ;0.000055    ;16.63      ;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;G1V                  
1271;* 24 Sex                           ;PM*;10 23 28.3698081504 -00 54 08.092603368; 64.840 -35.290     ;13.6402   ;7.29       ;0.000024    ;7.29       ;     ~   ;7.400    ;6.441    ;6.41     ;     ~   ;K0IV                 
1272;HD 90362                           ;PM*;10 25 44.2709069664 -07 03 35.376368976;-135.763 130.341    ;7.127     ;35.950500  ;0.000120    ;35.95      ;8.94     ;7.08     ;5.56     ;4.31     ;3.36     ;K6IIIFe-0.5          
1273;* mu. Hya                          ;PM*;10 26 05.4261455478 -16 50 10.638977124;-128.819 -80.185    ;13.3710   ;40.81      ;0.000136    ;40.81      ;7.11     ;5.29     ;3.81     ;2.70     ;1.87     ;K4III                
1274;HD 90156                           ;PM*;10 23 55.2740234040 -29 38 43.909986984; -39.159 99.302     ;45.5628   ;26.958     ;0.000090    ;26.96      ;7.758    ;7.603    ;6.920    ;6.534    ;6.189    ;G5V                  
1275;* alf Ant                          ;PM*;10 27 09.1006393440 -31 04 04.004901300;  -81.320 9.798     ;8.9069    ;12.2       ;0.000041    ;12.20      ;7.33     ;5.70     ;4.25     ;3.15     ;2.36     ;K3III                
1276;* r Vel                            ;PM*;10 22 19.5848462136 -41 38 59.863133688; -27.720 60.366     ;15.7328   ;21.53      ;0.000072    ;21.53      ;7.04     ;5.95     ;4.83     ;4.03     ;3.45     ;K1III                
1277;* 38 LMi                           ;SB*;10 39 07.6323048744 +37 54 36.004148388;-220.689 -45.256    ;19.7987   ;30.90      ;0.000103    ;30.90      ;     ~   ;6.42     ;     ~   ;5.5      ;     ~   ;G0IV                 
1278;HD 91545                           ;PM*;10 34 50.0235564024 +27 57 41.664746952;153.104 -86.590     ;15.4654   ;-23.716000 ;-0.000079   ;-23.72     ;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;K0                   
1279;* rho Leo                          ;s*b;10 32 48.6703908997 +09 18 23.705339948;  -6.350 -3.300     ;1.5913    ;42.00      ;0.000140    ;42.00      ;2.780    ;3.720    ;3.870    ;3.90     ;4.06     ;B1Iab                
1280;* bet Sex                          ;a2*;10 30 17.4802898904 -00 38 13.314537996;-39.290 -23.582     ;8.8899    ;11.6       ;0.000039    ;11.60      ;4.43     ;4.96     ;5.10     ;5.13     ;5.27     ;B6V                  
1281;V* U Hya                           ;C* ;10 37 33.2729535 -13 23 04.352923      ;   42.59 -37.72     ;4.80      ;-25.80     ;-0.000086   ;-25.80     ;13.29    ;7.51     ;4.82     ;3.05     ;1.78     ;C-N5                 
1282;V* U Ant                           ;C* ;10 35 12.8510147472 -39 33 45.324020448;  -31.504 2.619     ;3.6154    ;41.00      ;0.000137    ;41.00      ;15.32    ;8.22     ;5.38     ;3.18     ;1.86     ;C-N3                 
1283;HD 92719                           ;PM*;10 42 13.3208854176 -13 47 15.771277068;234.441 -172.093    ;41.9082   ;-17.964    ;-0.000060   ;-17.96     ;7.519    ;7.406    ;6.767    ;6.42     ;6.083    ;G1.5V                
1284;* nu. Hya                          ;PM*;10 49 37.4882533447 -16 11 37.129417316; 92.912 199.642     ;23.7940   ;-1.37      ;-0.000005   ;-1.37      ;5.62     ;4.35     ;3.11     ;2.17     ;1.53     ;K1.5IIIHdel-0.5      
1285;HD 95241                           ;SB*;11 00 20.6841801504 +42 54 42.127624548;-107.288 -119.028   ;21.4212   ;-6.71      ;-0.000022   ;-6.71      ;     ~   ;     ~   ;     ~   ;5.7      ;     ~   ;F9V                  
1286;* 47 UMa                           ;PM*;10 59 27.9727514012 +40 25 48.920572724;-316.850 55.180     ;72.0070   ;11.142     ;0.000037    ;11.14      ;     ~   ;5.66     ;     ~   ;4.7      ;     ~   ;G1-VFe-0.5           
1287;HD 95129                           ;PM*;10 59 32.7873151704 +36 05 35.162624544; 67.279 -50.626     ;4.463     ;-25.21     ;-0.000084   ;-25.21     ;9.51     ;7.59     ;6.00     ;4.51     ;3.22     ;M2III                
1288;HD 95735                           ;PM*;11 03 20.1948195942 +35 58 11.576182057;-580.057 -4776.589  ;392.7529  ;-84.64     ;-0.000282   ;-84.63     ;10.030   ;8.960    ;7.520    ;5.99     ;4.79     ;M2+V                 
1289;* 46 LMi                           ;PM*;10 53 18.6891667765 +34 12 53.611679098;90.625 -278.664     ;32.9210   ;15.69      ;0.000052    ;15.69      ;5.79     ;4.87     ;3.83     ;3.00     ;2.46     ;K0+III-IV            
1290;* 54 Leo A                         ;PM*;10 55 36.8013543552 +24 44 59.022329568;-76.977 -14.698     ;10.742    ;5.4        ;0.000018    ;5.40       ;     ~   ;4.478    ;4.477    ;6.04     ;     ~   ;A1V                  
1291;HD 95216                           ;PM*;10 59 41.0893697304 +11 42 21.117024504;-227.986 44.487     ;22.9776   ;23.47      ;0.000078    ;23.47      ;6.890    ;6.930    ;     ~   ;6.3      ;     ~   ;F5V                  
1292;HD 94765                           ;BY*;10 56 30.7993104072 +07 23 18.507477300;-256.992 -77.410    ;57.8024   ;5.461      ;0.000018    ;5.46       ;8.944    ;8.252    ;7.379    ;6.815    ;6.442    ;K0V                  
1293;* 56 Leo                           ;LP?;10 56 01.4682688998 +06 11 07.341317877; -22.852 -7.293     ;8.7454    ;-8.39      ;-0.000028   ;-8.39      ;8.45     ;7.24     ;5.78     ;3.53     ;1.44     ;M5.5III:             
1294;* p02 Leo                          ;*  ;11 01 49.6762854745 -02 29 04.525646926;  9.014 -35.370     ;5.4948    ;-12.70     ;-0.000042   ;-12.70     ;8.29     ;6.37     ;4.75     ;3.42     ;2.46     ;M0III                
1295;* alf Crt                          ;PM*;10 59 46.4651557828 -18 17 55.630394216;-462.303 128.614    ;20.3693   ;47.54      ;0.000159    ;47.54      ;6.14     ;5.16     ;4.07     ;3.27     ;2.72     ;K0IIIb               
1296;* iot Ant                          ;PM*;10 56 43.0512189504 -37 08 15.962675568;74.069 -124.443     ;15.7132   ;2.30       ;0.000008    ;2.30       ;6.47     ;5.63     ;4.60     ;3.85     ;3.32     ;K0III                
1297;* i Vel                            ;*  ;11 00 09.2642063477 -42 13 33.090390393;   23.077 3.942     ;16.2011   ;-3.11      ;-0.000010   ;-3.11      ;4.62     ;4.50     ;4.39     ;4.26     ;4.19     ;A3V                  
1298;HD 97194                           ;PM*;11 11 48.9466906248 +42 49 55.449698340;-114.173 -240.941   ;21.7826   ;11.288     ;0.000038    ;11.29      ;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;F8                   
1299;HD 97488                           ;PM*;11 13 19.7108616552 +33 26 37.469405724;-145.690 -63.318    ;8.0176    ;46.355499  ;0.000155    ;46.36      ;8.430    ;7.650    ;     ~   ;6.0      ;     ~   ;K0IV                 
1300;[SM2000] V90                       ;RR*;11 13 23.70 +22 15 28.8                ;            ~ ~     ;      ~   ;~          ;~           ;~          ;     ~   ;22.575   ;22.232   ;0.000    ;21.745   ;~                    
1301;[SM2000] V108                      ;RR*;11 13 48.53 +22 15 11.1                ;            ~ ~     ;      ~   ;~          ;~           ;~          ;     ~   ;22.566   ;22.186   ;0.000    ;21.607   ;~                    
1302;[SM2000] V116                      ;RR*;11 13 30.08 +22 01 49.9                ;            ~ ~     ;      ~   ;~          ;~           ;~          ;     ~   ;22.448   ;22.058   ;0.000    ;21.609   ;~                    
1303;* del Leo                          ;PM*;11 14 06.50142 +20 31 25.3853          ; 143.42 -129.88     ;55.82     ;-20.90     ;-0.000070   ;-20.90     ;2.79     ;2.68     ;2.53     ;2.44     ;2.41     ;A5IV(n)              
1304;HD 96719                           ;PM*;11 08 40.7944369104 +17 12 02.674740780;-21.452 -160.680    ;6.5331    ;-17.24     ;-0.000058   ;-17.24     ;8.620    ;7.830    ;     ~   ;6.2      ;     ~   ;G8III                
1305;* tet Leo                          ;PM*;11 14 14.4056705348 +15 25 46.455911128;-60.538 -78.675     ;20.3160   ;7.536      ;0.000025    ;7.54       ;3.40     ;3.33     ;3.35     ;3.32     ;3.34     ;A2IV                 
1306;* chi Leo                          ;PM*;11 05 01.0278085241 +07 20 09.624129314;-345.034 -46.986    ;34.6007   ;6.957050   ;0.000023    ;6.96       ;     ~   ;4.94     ;4.62     ;4.4      ;     ~   ;F2III                
1307;* p04 Leo                          ;RG*;11 06 54.2073127915 +01 57 19.892063002;-382.860 -85.867    ;16.5663   ;57.173801  ;0.000191    ;57.18      ;     ~   ;6.49     ;     ~   ;5.0      ;     ~   ;K0III                
1308;* chi01 Hya                        ;** ;11 05 19.9025488416 -27 17 37.046751540;-187.524 -3.099     ;22.5314   ;19.10      ;0.000064    ;19.10      ;     ~   ;5.281    ;4.912    ;6.50     ;     ~   ;F3IV/V               
1309;HD 97343                           ;PM*;11 12 01.1912650920 -26 08 12.010248132;272.171 -65.147     ;45.2482   ;39.836     ;0.000133    ;39.84      ;8.178    ;7.815    ;7.037    ;6.621    ;6.241    ;G8.5V                
1310;HD 96700                           ;PM*;11 07 54.4268592192 -30 10 28.447221745;-505.371 -132.293   ;39.3975   ;12.790     ;0.000043    ;12.79      ;     ~   ;7.11     ;6.503    ;6.59     ;8.95     ;G1VFe-0.5            
1311;* 56 UMa                           ;SB*;11 22 49.5779879928 +43 28 57.714470868;-35.561 -10.651     ;5.8813    ;1.848790   ;0.000006    ;1.85       ;6.86     ;6.04     ;5.03     ;4.30     ;3.81     ;G8IIIa               
1312;* nu. UMa                          ;*  ;11 18 28.7372062295 +33 05 39.501852796; -26.139 27.892     ;7.9823    ;-9.63      ;-0.000032   ;-9.63      ;6.44     ;4.89     ;3.49     ;2.43     ;1.73     ;K3-III:              
1313;HD 98397                           ;PM*;11 19 31.7285366640 +32 49 30.477867672;-151.083 25.013     ;6.2048    ;28.9904    ;0.000097    ;28.99      ;     ~   ;     ~   ;     ~   ;5.9      ;     ~   ;K0                   
1314;* ksi UMa B                        ;SB*;11 18 10.8360115405 +31 31 44.821690914;-339.398 -607.892   ;114.4867  ;-15.9      ;-0.000053   ;-15.90     ;     ~   ;5.41     ;4.77     ;4.4      ;     ~   ;G2V                  
1315;* 72 Leo                           ;LP*;11 15 12.2283936624 +23 05 43.832242337; -25.612 -5.995     ;4.2936    ;14.76      ;0.000049    ;14.76      ;8.14     ;6.29     ;4.63     ;3.07     ;1.76     ;M3IIb:               
1316;* 75 Leo                           ;PM*;11 17 17.4004699320 +02 00 38.001093758;54.983 -142.154     ;9.9328    ;-59.46     ;-0.000198   ;-59.45     ;8.54     ;6.70     ;5.18     ;3.91     ;2.97     ;M0III                
1317;HD 98281                           ;PM*;11 18 22.0116141258 -05 04 02.288928836;795.006 -150.916    ;45.1803   ;13.372     ;0.000045    ;13.37      ;8.278    ;7.993    ;7.232    ;6.822    ;6.438    ;G8V                  
1318;* del Crt                          ;PM*;11 19 20.4473515372 -14 46 42.743409457;-122.958 207.083    ;17.0170   ;-4.94      ;-0.000016   ;-4.94      ;5.66     ;4.67     ;3.56     ;2.73     ;2.13     ;G9IIICH0.5           
1319;* gam Crt                          ;PM*;11 24 52.9236160183 -17 41 02.442764421;  -96.811 3.650     ;37.7065   ;0.58       ;0.000002    ;0.58       ;     ~   ;4.25     ;4.06     ;6.12     ;     ~   ;A7V(n)               
1320;HD 99995                           ;PM*;11 30 28.4465806200 +43 34 42.562347852;-270.840 71.069     ;22.0404   ;-18.02     ;-0.000060   ;-18.02     ;     ~   ;7.58     ;     ~   ;6.1      ;     ~   ;K0                   
1321;HD 100067                          ;PM*;11 31 01.0547195388 +32 18 59.885526293;-324.901 206.215    ;23.1505   ;30.167     ;0.000101    ;30.17      ;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;F9                   
1322;V* AW UMa                          ;SB*;11 30 04.3160006304 +29 57 52.674404544;-84.298 -198.900    ;14.7836   ;-17.00     ;-0.000057   ;-17.00     ;     ~   ;7.27     ;     ~   ;6.7      ;     ~   ;F0                   
1323;HD 100655                          ;PM*;11 35 03.7532047512 +20 26 29.562959724; -59.897 -0.996     ;7.2345    ;-4.85      ;-0.000016   ;-4.85      ;     ~   ;7.468    ;6.438    ;6.37     ;     ~   ;G9III                
1324;* 88 Leo                           ;** ;11 31 44.9441592503 +14 21 52.210714391;-329.873 -189.925   ;42.6536   ;-4.81      ;-0.000016   ;-4.81      ;     ~   ;6.77     ;     ~   ;5.9      ;     ~   ;F9.5V                
1325;HD 99797                           ;PM*;11 28 59.2725538056 +10 02 16.338985512;-149.790 43.477     ;15.8635   ;17.15      ;0.000057    ;17.15      ;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;F5                   
1326;* 83 Leo A                         ;PM*;11 26 45.3217299671 +03 00 47.156637705;-725.963 180.980    ;55.0090   ;4.256      ;0.000014    ;4.26       ;7.78     ;7.28     ;6.46     ;6.0      ;     ~   ;G9IV-V               
1327;* 83 Leo B                         ;PM*;11 26 46.2783265113 +03 00 22.756723728;-728.131 188.554    ;55.0618   ;3.59       ;0.000012    ;3.59       ;9.467    ;8.554    ;7.530    ;6.97     ;6.508    ;K3                   
1328;* 89 Leo                           ;PM*;11 34 21.9489030480 +03 03 36.593787600;-183.855 -102.938   ;37.1803   ;4.775      ;0.000016    ;4.78       ;     ~   ;6.23     ;     ~   ;5.5      ;     ~   ;F5.5V                
1329;* ups Leo                          ;*  ;11 36 56.9307649665 -00 49 25.499792021;   1.696 43.142     ;18.3461   ;1.57       ;0.000005    ;1.57       ;6.05     ;5.31     ;4.30     ;3.58     ;3.06     ;G9IIIbFe-0.5         
1330;* 17 Crt B                         ;PM*;11 32 16.0399546776 -29 15 47.899939428;-22.006 140.413     ;35.5239   ;9.8        ;0.000033    ;9.80       ;     ~   ;6.19     ;5.671    ;5.49     ;     ~   ;F8V                  
1331;* 18 Crt                           ;*  ;11 32 54.1287004248 -31 05 14.011438740;  -29.500 6.543     ;7.7972    ;19.4       ;0.000065    ;19.40      ;8.65     ;6.70     ;5.11     ;3.77     ;2.76     ;M1/2III              
1332;* ksi Hya                          ;** ;11 33 00.1149306166 -31 51 27.447975478;-210.158 -41.203    ;24.9632   ;-4.599     ;-0.000015   ;-4.60      ;5.17     ;4.47     ;3.54     ;2.84     ;2.36     ;G7IIIb               
1333;HD 100493                          ;** ;11 33 37.19997 -40 35 11.8945          ;   -83.21 27.10     ;8.46      ;9.00       ;0.000030    ;9.00       ;     ~   ;     ~   ;     ~   ;6.80     ;     ~   ;A2IV/V               
