C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
84  ;* alf Cas                          ;PM*;00 40 30.4430418459 +56 32 14.385181354; 49.126 -31.595     ;14.0910   ;-4.204     ;-0.000014   ;-4.20      ;4.52     ;3.40     ;2.23     ;1.45     ;0.85     ;K0-IIIa              
85  ;* eta Cas B                        ;PM*;00 49 05.1918602391 +57 49 04.174468559;1144.693 -469.668   ;168.7186  ;8.6837     ;0.000029    ;8.68       ;     ~   ;8.90     ;7.51     ;6.9      ;     ~   ;K7Ve                 
86  ;* eta Cas                          ;PM*;00 49 06.2945942922 +57 48 54.638239716;1078.609 -551.133   ;168.8322  ;8.404      ;0.000028    ;8.40       ;4.04     ;4.02     ;3.44     ;2.94     ;2.58     ;F9V                  
87  ;* tet Cas                          ;PM*;01 11 06.1620929203 +55 08 59.638991981;226.056 -19.541     ;23.8844   ;2.50       ;0.000008    ;2.50       ;4.630    ;4.510    ;4.330    ;4.16     ;4.09     ;A7V                  
88  ;* g Per                            ;*  ;02 02 18.1084057296 +54 29 15.145135980;  34.245 -2.924     ;4.0763    ;3.66       ;0.000012    ;3.66       ;4.64     ;4.96     ;5.04     ;5.01     ;5.06     ;B8III                
89  ;* tet Per                          ;PM*;02 44 11.9866154103 +49 13 42.414669174;334.708 -89.251     ;89.6850   ;24.394     ;0.000081    ;24.39      ;4.62     ;4.62     ;4.11     ;3.67     ;3.37     ;F8V                  
90  ;HD 22521                           ;SB*;03 38 57.1924217592 +42 32 17.882827692;-193.364 -133.951   ;22.1954   ;-39.444302 ;-0.000132   ;-39.44     ;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;G0                   
91  ;* nu. Per                          ;*  ;03 45 11.6327358410 +42 34 42.709540671;  -15.116 2.461     ;5.4766    ;-12.10     ;-0.000040   ;-12.10     ;4.50     ;4.22     ;3.80     ;3.40     ;3.13     ;F4II                 
92  ;HD 188753                          ;** ;19 54 58.3717655 +41 52 17.529759      ;  -51.32 286.57     ;21.63     ;-23.5      ;-0.000078   ;-23.50     ;     ~   ;8.24     ;7.44     ;6.9      ;     ~   ;G9V                  
93  ;HD 193793                          ;WR*;20 20 27.9757908696 +43 51 16.286840244;  -4.275 -1.874     ;0.5378    ;3.10       ;0.000010    ;3.10       ;6.90     ;7.25     ;6.85     ;4.58     ;     ~   ;WC7pd+O5.5fc         
94  ;HD 195506                          ;PM*;20 29 59.9406847728 +45 55 42.780837396; 84.131 153.229     ;7.9361    ;-33.86     ;-0.000113   ;-33.86     ;     ~   ;     ~   ;     ~   ;5.8      ;     ~   ;K2III                
95  ;V* V Cyg                           ;C* ;20 41 18.2676815496 +48 08 28.810980420; -7.239 -13.582     ;1.8331    ;3.0        ;0.000010    ;3.00       ;     ~   ;14.05    ;7.70     ;6.67     ;     ~   ;C7,4eJ               
96  ;HD 199955                          ;** ;20 58 30.03385 +50 27 42.4409          ;      8.89 2.54     ;3.02      ;-6.168610  ;-0.000021   ;-6.17      ;     ~   ;5.77     ;5.90     ;6.84     ;     ~   ;B7IVn+B7IV           
97  ;* 13 Cep                           ;s*b;21 54 53.1538880928 +56 36 40.415024952;  -3.825 -2.638     ;0.9126    ;-20.40     ;-0.000068   ;-20.40     ;6.50     ;6.52     ;5.80     ;5.12     ;4.52     ;B7Iab                
98  ;* zet Cep                          ;s*r;22 10 51.2777055617 +58 12 04.542602641;   13.359 5.275     ;3.2972    ;-17.83     ;-0.000059   ;-17.83     ;6.62     ;4.90     ;3.35     ;2.27     ;1.49     ;K1.5Ib               
